num_exp,out of lives,illegal move,lost one life,discard,layers,activation,batch_sizes,gammas,learning_rates,obs_vec_type,num_actions,entropy_coeff,renormalize_gt,life_tokens,hint_tokens,epsilon_start,epsilon_decay_type,epsilon_low_at_epoch,epsilon_low
0,standard,-1,standard,standard,[64],Tanh,1000,0.99,0.001,82,11,0.0,True,3,8,0,exponential,100000,0.001
1,standard,-1,standard,standard,[64],Tanh,1000,0.99,0.001,82,11,0.0,False,3,8,0,exponential,100000,0.001
2,standard,-1,standard,standard,[64],Tanh,1000,0.99,0.001,82,11,0.01,True,3,8,0,exponential,100000,0.001
3,standard,-1,standard,standard,[64],Tanh,1000,0.99,0.001,82,11,0.01,False,3,8,0,exponential,100000,0.001
4,standard,-1,standard,standard,[64],Tanh,1000,0.99,0.001,136,11,0.0,True,3,8,0,exponential,100000,0.001
5,standard,-1,standard,standard,[64],Tanh,1000,0.99,0.001,136,11,0.0,False,3,8,0,exponential,100000,0.001
6,standard,-1,standard,standard,[64],Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,0,exponential,100000,0.001
7,standard,-1,standard,standard,[64],Tanh,1000,0.99,0.001,136,11,0.01,False,3,8,0,exponential,100000,0.001
8,standard,-1,standard,standard,"[64, 64]",Tanh,1000,0.99,0.001,82,11,0.0,True,3,8,0,exponential,100000,0.001
9,standard,-1,standard,standard,"[64, 64]",Tanh,1000,0.99,0.001,82,11,0.0,False,3,8,0,exponential,100000,0.001
10,standard,-1,standard,standard,"[64, 64]",Tanh,1000,0.99,0.001,82,11,0.01,True,3,8,0,exponential,100000,0.001
11,standard,-1,standard,standard,"[64, 64]",Tanh,1000,0.99,0.001,82,11,0.01,False,3,8,0,exponential,100000,0.001
12,standard,-1,standard,standard,"[64, 64]",Tanh,1000,0.99,0.001,136,11,0.0,True,3,8,0,exponential,100000,0.001
13,standard,-1,standard,standard,"[64, 64]",Tanh,1000,0.99,0.001,136,11,0.0,False,3,8,0,exponential,100000,0.001
14,standard,-1,standard,standard,"[64, 64]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,0,exponential,100000,0.001
15,standard,-1,standard,standard,"[64, 64]",Tanh,1000,0.99,0.001,136,11,0.01,False,3,8,0,exponential,100000,0.001
16,standard,-1,standard,standard,"[800, 400, 200]",Tanh,1000,0.99,0.001,82,11,0.0,True,3,8,0,exponential,100000,0.001
17,standard,-1,standard,standard,"[800, 400, 200]",Tanh,1000,0.99,0.001,82,11,0.0,False,3,8,0,exponential,100000,0.001
18,standard,-1,standard,standard,"[800, 400, 200]",Tanh,1000,0.99,0.001,82,11,0.01,True,3,8,0,exponential,100000,0.001
19,standard,-1,standard,standard,"[800, 400, 200]",Tanh,1000,0.99,0.001,82,11,0.01,False,3,8,0,exponential,100000,0.001
20,standard,-1,standard,standard,"[800, 400, 200]",Tanh,1000,0.99,0.001,136,11,0.0,True,3,8,0,exponential,100000,0.001
21,standard,-1,standard,standard,"[800, 400, 200]",Tanh,1000,0.99,0.001,136,11,0.0,False,3,8,0,exponential,100000,0.001
22,standard,-1,standard,standard,"[800, 400, 200]",Tanh,1000,0.99,0.001,136,11,0.01,True,3,8,0,exponential,100000,0.001
23,standard,-1,standard,standard,"[800, 400, 200]",Tanh,1000,0.99,0.001,136,11,0.01,False,3,8,0,exponential,100000,0.001
