num_exp,batch_sizes,obs_vec_type,num_actions,layers,activation,learning_rates
0,1,37,11,[32],Tanh,0.01
1,1,37,11,[32],Tanh,0.001
2,1,37,11,[32],Tanh,0.0001
3,1,37,11,[32],Tanh,1e-05
4,1,37,11,[32],Tanh,1e-06
5,1,37,11,[32],ReLU,0.01
6,1,37,11,[32],ReLU,0.001
7,1,37,11,[32],ReLU,0.0001
8,1,37,11,[32],ReLU,1e-05
9,1,37,11,[32],ReLU,1e-06
10,1,37,11,"[32, 32]",Tanh,0.01
11,1,37,11,"[32, 32]",Tanh,0.001
12,1,37,11,"[32, 32]",Tanh,0.0001
13,1,37,11,"[32, 32]",Tanh,1e-05
14,1,37,11,"[32, 32]",Tanh,1e-06
15,1,37,11,"[32, 32]",ReLU,0.01
16,1,37,11,"[32, 32]",ReLU,0.001
17,1,37,11,"[32, 32]",ReLU,0.0001
18,1,37,11,"[32, 32]",ReLU,1e-05
19,1,37,11,"[32, 32]",ReLU,1e-06
20,1,37,11,[64],Tanh,0.01
21,1,37,11,[64],Tanh,0.001
22,1,37,11,[64],Tanh,0.0001
23,1,37,11,[64],Tanh,1e-05
24,1,37,11,[64],Tanh,1e-06
25,1,37,11,[64],ReLU,0.01
26,1,37,11,[64],ReLU,0.001
27,1,37,11,[64],ReLU,0.0001
28,1,37,11,[64],ReLU,1e-05
29,1,37,11,[64],ReLU,1e-06
30,1,37,11,"[64, 64]",Tanh,0.01
31,1,37,11,"[64, 64]",Tanh,0.001
32,1,37,11,"[64, 64]",Tanh,0.0001
33,1,37,11,"[64, 64]",Tanh,1e-05
34,1,37,11,"[64, 64]",Tanh,1e-06
35,1,37,11,"[64, 64]",ReLU,0.01
36,1,37,11,"[64, 64]",ReLU,0.001
37,1,37,11,"[64, 64]",ReLU,0.0001
38,1,37,11,"[64, 64]",ReLU,1e-05
39,1,37,11,"[64, 64]",ReLU,1e-06
40,1,62,11,[32],Tanh,0.01
41,1,62,11,[32],Tanh,0.001
42,1,62,11,[32],Tanh,0.0001
43,1,62,11,[32],Tanh,1e-05
44,1,62,11,[32],Tanh,1e-06
45,1,62,11,[32],ReLU,0.01
46,1,62,11,[32],ReLU,0.001
47,1,62,11,[32],ReLU,0.0001
48,1,62,11,[32],ReLU,1e-05
49,1,62,11,[32],ReLU,1e-06
50,1,62,11,"[32, 32]",Tanh,0.01
51,1,62,11,"[32, 32]",Tanh,0.001
52,1,62,11,"[32, 32]",Tanh,0.0001
53,1,62,11,"[32, 32]",Tanh,1e-05
54,1,62,11,"[32, 32]",Tanh,1e-06
55,1,62,11,"[32, 32]",ReLU,0.01
56,1,62,11,"[32, 32]",ReLU,0.001
57,1,62,11,"[32, 32]",ReLU,0.0001
58,1,62,11,"[32, 32]",ReLU,1e-05
59,1,62,11,"[32, 32]",ReLU,1e-06
60,1,62,11,[64],Tanh,0.01
61,1,62,11,[64],Tanh,0.001
62,1,62,11,[64],Tanh,0.0001
63,1,62,11,[64],Tanh,1e-05
64,1,62,11,[64],Tanh,1e-06
65,1,62,11,[64],ReLU,0.01
66,1,62,11,[64],ReLU,0.001
67,1,62,11,[64],ReLU,0.0001
68,1,62,11,[64],ReLU,1e-05
69,1,62,11,[64],ReLU,1e-06
70,1,62,11,"[64, 64]",Tanh,0.01
71,1,62,11,"[64, 64]",Tanh,0.001
72,1,62,11,"[64, 64]",Tanh,0.0001
73,1,62,11,"[64, 64]",Tanh,1e-05
74,1,62,11,"[64, 64]",Tanh,1e-06
75,1,62,11,"[64, 64]",ReLU,0.01
76,1,62,11,"[64, 64]",ReLU,0.001
77,1,62,11,"[64, 64]",ReLU,0.0001
78,1,62,11,"[64, 64]",ReLU,1e-05
79,1,62,11,"[64, 64]",ReLU,1e-06
